"Площадь, м2",Количество спален,Участок,Адрес,Телефоны,Описание,Цена,Можно с детьми/животными,Дополнительно,Ссылка на объявление,Широта,Долгота
650,6.0,"15.0, сот.","Московская область, Богородский городской округ, дом Марьино, шоссе Носовихинское , шоссе Новорязанское",+79154093764,"Сдаем посуточно новый коттедж.

ОБ УЧАСТКЕ 15 сот:
-открытая терраса с мангалом.
-парковка на 5 машин.
-детская площадка

О ДОМЕ: 650м.кв, 3 этажа
На банкет до 15 человек, на ночь до 15 чел.
В доме :
-6 спален,
-сауна,
-бассейн,
-бильярд,
-настольный теннис,
-музыкальный центр с караоке,
-полностью укомплектованная кухня.
Заезд после 15:00, выезд до 12:00.

СТОИМОСТЬ:
Стоимость указана за будний день до 10 человек. На двое суток в выходные  от 75000. Постельное белье, полотенца для рук и лица, сауна 3 часа, бассейн круглые сутки, посуда, бильярд, принадлежности для мангала включены в стоимость. С собой нужно привозить полотенца для сауны, тапочки.

ДОПОЛНИТЕЛЬНЫЕ ПЛАТЫ:
Дополнительно оплачивается  уборка от 5000р при условии, если дом останется грязным.

ОСОБЫЕ УСЛОВИЯ:
Обязательно в день заезда вносится залог 12000. Есть ограничения по шуму на улице после 22:00. Под шумные мероприятия не сдаем!, 38 фото",75000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/306678186,55.727835,38.284006
500,5.0,"15.0, сот.","Москва, Краснопахорское поселение, дом Романцево, Романтика кп, шоссе Калужское , шоссе Варшавское",+79154560650,"# 177

Сдаем новый коттедж 500 кв.м. в КП "" Романтика ""с бассейном и сауной

На участке в 15 соток расположен дом и SPA - комплекс с сауной и бассейном с подогревом

В доме есть все необходимое для комфортного отдыха :
- Большая гостиная с рассадкой на 35 гостей
- 5 спален ( на ночь возможно разместить до 20 гостей)
- Современная кухня оборудованная техникой , есть посуда для приготовления и сервировки 
- Караоке
- Музыкальный центр 
- Подогреваемый бассейн 28 градусов ( 7,5 м. * 4 м )
- Теннис
- Бильярд
- Кальян
- Парковка на 10 авто 
- Беседка на улице ( на 15 гостей)
- Мангальная зона
- Батут для детей
- Теплые полы


На первом этаже: кухня- гостиная на 25 человек ( 2 раскладных дивана), холл, с/у, с/у + ванна, спальня (двуспальная кровать)
На втором этаже: спальня (двуспальная кровать)+ выход на балкон, спальня ( 2 двуспальные кровати), спальня ( полуторная кровать), гостиная( 2 раскладных дивана,-с/у+ванна 
На третьем этаже мансарда с 7 спальными местами.

Свой выход в лес

Есть в ..., 45 фото",177000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/301776830,55.445135,37.289867
550,9.0,"8.0, сот.","Московская область, Чехов городской округ, Машиностроитель СНТ, 24, шоссе Симферопольское , шоссе Варшавское",+79623635819,"Сдаем посуточно стильный и современный коттедж с собственной водной горкой.

ОБ УЧАСТКЕ: 
-на участке 8 соток:
-парковка на 10 машин,
-волейбольная площадка на песке у леса,
-детская площадка,
-футбольная площадка.

О ДОМЕ: 550 м.кв., 2 этажа
Комфортное размещение за столом в банкетном зале до 50 человек , на ночь до 30 человек (в коттедже 9 спален).
В доме:
-банкетный зал 80 кв.м.,
-сцена
-9 изолированных спален,
-5 с/у,
-2 душевых ,
-барбекю с мангалом на 25 человек
-бассейн 6х12 м., часть бассейна выходит на территорию участка, внутри основного бассейна
-джакузи с горячей водой на улице,
-русская сауна на дровах
-караоке,
-бильярд (американка),
-2 кухни,
-комната отдыха возле сауны
-водная горка со 2-го этажа 8 метров.
Заезд после 16:00, выезд до 14:00.

СТОИМОСТЬ: 
Стоимость указана за будний день до 10 человек.  Выходные от 180000. В общую стоимость все включено полностью дрова, угли, решётки, шампура, масла и веники для бани, гели для душа, шампуни и кондиционеры для душа, однора ..., 29 фото",180000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/272293098,55.174013,37.474075
680,12.0,"10.0, сот.","Московская область, Щелковский район, Щелково, шоссе Щелковское , шоссе Фряновское",+79154560650,"Коттедж #149.
Сдаем современный коттедж в стиле LOFT, с огромным бассейном и 12 спальнями.
Дом для праздников и веселья!
До 50 гостей на мероприятии и 30 спальных мест.

Коттедж в 680 кв.м находится в городе Щелково МО!

На первом этаже огромное открытое пространство:

Бассейн с подогревом  размером 5х7 метров, глубиной 145175 см.
Сауна со стеклянной стеной и видом на бассейн. Два душа. Два санузла.
Барная стойка 4 метра длиной и открытый кухонный остров с духовкой , варочной панелью и раковиной. Два больших обеденных стола.
Игровая зона с большим телевизором и консолью PlayStation.
Мощный профессиональный музыкальный центр управляемый через Bluetooth, с возможностью подключения любого диджейского пульта.

На втором этаже находятся 12 спален, 2 санузла и душем.
Открытый второй свет с видом на бассейн. Комната для кальяна.

Выход на открытую уличную террасу размером 20х4 метра с великолепным видом на озера и лес. Площадка для пляжного волейбола.
Участок 10 соток.

Дом находится в черте  ..., 28 фото",150000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/257681219,55.933489,38.018625
260,6.0,"7.0, сот.","Московская область, Подольск городской округ, дом Бяконтово, улица Хуторская, 29А, шоссе Симферопольское , шоссе Домодедовское","+79161834574, +79169329387","Сдается новый дом рядом с Москвой , 12-13 км от МКАД.
Сдается дом посуточно от собственника!!! 
Подходит как для уединенного отдыха так и для веселых компаний. 
У нас Вы будете чувствовать себя как дома! 
Дом находится в дер. Бяконтово  Подольского района, до Москвы - 12 км по Варшавскому, Симферопольскому или Каширскому шоссе, ближайшее метро - Бунинская Аллея. От МКАД 12 минут на машине!!! 
Дом просторный  260 м .кв.Дом полностью меблирован, вся необходимая бытовая  техника .Также  предоставляются вся  посуда до мелочей, постельное  белье, средства гигиены.
В доме 6 спален + зал-гостиная с раскладными  диванами , 3 сан.узла. Открытая веранда со столом , скамьями и уличными креслами.  Можем комфортно разместить до 22 человек с ночёвкой. 
В гостиной расположены  длинный стол на 16 персон , телевизор, домашний кинотеатр с караоке и раскладные диваны. Все спальные места застилаем постельным бельём. Вся посуда в наличии- тарелки, ложки, вилки и т.д. Вся мебель и бытовая НОВАЯ!!! Короче до ..., 50 фото",25000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/301053808,55.450139,37.664473
700,7.0,"30.0, сот.","Московская область, Раменский городской округ, дом Становое, шоссе Новорязанское , шоссе Новоегорьевское",+79855840197,"#24494
3 основных преимущества:
-теплый бассейн и баня на дровах
-просторный коттедж
-без доплат

Идеально для:
-семейных торжеств/свадеб
-дней рождений
-корпоративных мероприятий

Сдаётся дом посуточно - в будни, выходные и праздники, для проведения загородного отдыха, корпоративов, свадеб, дней рождения и просто для выезда на шашлыки. 22 км от МКАД по Новорязанскому шоссе, д. Становое.

Дом расположен на участке 30 соток. Общей площадью 700 кв.м.
7 спален, 2 су, оборудованная кухня-столовая, банкетный зал до 50 человек, мебель, техника, спутниковое ТВ.
Мансарда предназначена для настольных игр и караоке.
Настольный теннис находится на цокольном этаже.

Теплый бассейн 3*6

Всего в коттедже 32 спальных места. Максимально в доме могут находиться до 50 человек.

За дополнительную плату предоставляются услуги повара, официанта, украшение коттеджа снаружи и внутри, услуги тамады, ди-джея и ведущего.

Включено в стоимость:
-топка бани на дровах 4 часа
-постельное бельё
-финишная уборка

Доп ..., 28 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Гараж, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/287759184,55.563085,38.049608
150,3.0,"15.0, сот.","Московская область, Раменский городской округ, с. Михайловская Слобода, 8, шоссе Новорязанское , шоссе Новоегорьевское",+79663002652,"Всем доброго дня! Я СОБСТВЕННИК!
Есть свободные даты: с 13 по 14(с пятницы по субботу ) и дальше!

В ВЫХОДНЫЕ ДНИ ЦЕНА (по договоренности)
В БУДНИ цена за сутки 9 и 3 уборка дома!
Данная цена до 6 гостей!
гостей! Каждый дополнительный гость по 1 к с человека!
Двух этажная баня 150 кв
Отличная парная из липы!
Самый экологичный материал!
Обливной устройство КАСКАД с холодной водой!
На первом этаже большой хол с ТВ,         КАРАОКЕ!  кухня, со всеми условиями для приготовления пищи! Музыка, wf, интернет 
Плита, духовка, микроволновка и тд!
Баня на ДРОВАХ!! ( без ограничений по времени!!)
Вы платите только за ДРОВА!!! 3т и всё!!!
Мангал!
Казан для плова, и тд..
Территория абсолютно новая!!!
ВЕЛИКОЛЕПНОЕ ДЖАКУЗИ с подогревом до 40 гр. стоит отдельно под теплым куполом!
Зимний вариант!!
Джакузи на 10 гостей!( входит в общую стоимость! До 24:00! ( по желанию можно продлить ( 1,5 в час)
Своя музыка и подсветка!
Гости в восторге от неё!!
Возможно снять дом с по ЧАСОВОЙ оплатой!
2,3 час! (Минима ..., 30 фото",25000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Гараж, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/275165175,55.555586,38.067044
84,,"15.0, сот.","Московская область, Раменский городской округ, дом Плетениха, 66, шоссе Каширское , шоссе Москва - Аэропорт Домодедово, А-105",+79660469709,"БРОНИРОВАНИЕ:

В БУДНИ - сдается от 3 суток, заселение  преимущественно в воскресенье ( со скидкой).Стоимость 8000/сутки
 ВЫХОДНЫЕ: с субботы на воскресенье  сдается с ранним заездом (начиная с 10:00) в субботу и поздним выездом (в 15: 00) в воскресенье. стоимость 11000/ выходные 
ГОСТЕЙ : 2 взрослых + 2 детей
Дети до 10 лет бесплатно, с 11 лет 1000/ сутки
Для заселения нужен паспорт, на месте подписывается договор аренды, возвратный депозит 5000
Заезд 14:00 и выезд 12:00 
Ранний заезд или поздний выезд - уточняйте. 
ЖИВОТНЫЕ: уточняйте, оплачиваете отдельно.  собачки - только девицы:
Установка бассейна  летом, оплачивается отдельно, вода готовится под вас.

 ОПИСАНИЕ :
Отдохните  на природе, в доме из бревна, с финской сауной, 20 км от МКАД по Каширскому шоссе. 
Прекрасный участок 15 соток, тишина, сосны, пихты, хвойники, розы, газон, зона для мангала, большая терраса, каркасный бассейн - в тёплое время. 
Рядом: магазины, лес, рыбалка, озёра,  конный клуб, велосипедные прогулки. 
В 10 ..., 29 фото",11000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/294946081,55.559247,37.901126
600,12.0,"30.0, сот.","Московская область, Дмитровский городской округ, Останкино-2 садоводческий кооператив, улица 5-я, шоссе Дмитровское , шоссе Рогачевское",+79855165629,"!уважаемые гости,новый год 31.12.-03.01 уже забронирован!

Красивая вилла в итальянском стиле расположена в экологически чистом районе между двух озёр-Круглым и Долгим. Это комплекс строений состоящий из двух основных жилых домов, гостевого домика, банного комплекса и отдельно стоящего банкетного зала. Вилла имеет красивую большую ухоженную территорию, здесь расположены несколько декоративных прудов, хвойные деревья, яблоневый сад, летом разбивается большое количество цветов, а на улице оборудована просторная беседка с уличной мебелью.В домах виллы 12 закрытых спален, 5 санузлов, несколько каминов, 2 кухни, есть банный комплекс с сауной и бассейном с подогревом. В доме смогут комфортно разместиться на ночь до 25 человек, а банкетный зал рассчитан на прием до 40 гостей. Сам банкетный зал представляет собой отдельно стоящее здание с большими окнами, камином, барной стойкой и мини-кухней.На улице у одного из прудов есть оборудованная открытая площадка и уличный шатер, здесь можно провести ..., 45 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/283971446,56.061047,37.348743
100,2.0,"15.0, сот.","Московская область, Ступино городской округ, Мышенское ТСН, улица Ясная, шоссе Симферопольское , шоссе Новокаширское",+79850939896,"Сауна в подарок 

Уютный HОВЫЙ дом, cдeлaнный с любовью, в коттеджном пoсёлкe бизнеc-клаccа. Cпокойный интepьep cоздан для отдыхa, рaccлaблeния и перезагpузки.

В доме еcть все для кoмфoртногo проживания.

-две изoлиpoванные спaльни c 2сп крoватями
- куxня-гoстиная с раскладным 2cп дивaном и большим TB.
-санузeл, душeвая кабина
-сауна в домике
-мангал и очаг около домика
А также: постельное белье, полотенца, средства в ванной, фен, на кухне: СВЧ, индукционная плита, посудомоечная машина, холодильник, чайник, посуда для приема и приготовления пищи. Конвекторы и кондиционер. Площадь дома 100м2 вместе с верандой.

ЧЕМ ЗАНЯТЬСЯ?
Гулять по лесу, отдыхать на природе, сидеть около костра, жарить шашлыки.

В посёлке есть чудесное озеро с песочным пляжем и шезлонгами, благоустроены площадки для активного отдыха для всей семьи теннисный корт, футбол, баскетбол, волейбол, wоrkоut и детская площадка.

По питанию

Можно пожарить шашлык, приготовить еду самостоятельно.
В 5 мин езды есть отличный рес ..., 21 фото",25000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/304971385,55.027629,37.737983
188,4.0,"9.0, сот.","Московская область, Раменский городской округ, 30128 кв-л, 805, шоссе Новорязанское , шоссе Новоегорьевское","+79169487901, +79169526714","Cдается искренне прекрасный Зеленый Дом для 4-11 гостей. 

Для проживания и НЕшумных вечеринок. Славянам. 

.

ПРОЧИТАЙТЕ, ПОЖАЛУЙСТА :)

В доме на 1 этаже:

Веранда ( ротанговый стол и стулья, где вы можете обедать на свежем воздухе)

Большая кухня-гостиная с диваном (раскладывается в 3 спальных места) и большим ТВ

Постирочная с умывальником 

Туалет и душевая 

Комната гостевая изолированная (диван на 2 спальных места)

.

В доме на 2 этаже: 

3 спальни с длинными балконами и двусп кроватями 

Туалет с ванной 

.

Для вас доп услуги и развлечения:

 В 10 км от дома находится горнолыжный клуб Гая Северина 

У нас: 
Большой мангал 

Баня 

Множество настольных игр 

 

Парковочные места на территории для 2 машин и снаружи еще для 3 машин 

.

ВАЖНО! на территории не разрешается шуметь с 22ч до 8ч.

.

Рядом из интересного: полеты на частных самолетах, конный клуб, горнолыжные склоны, картинг.

.

Заезд с 15ч. / Выезд до 12ч.

.

Стоимость:

Стоимость: 
Дом в вых. Сдается от 2х сут. 

 ..., 24 фото",25000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/309047674,55.553849,37.995413
240,4.0,"13.0, сот.","Москва, Вороновское поселение, пос. ЛМС, улица Луговая, 19, шоссе Калужское , шоссе Варшавское",+79168156507,"Сдаётся новый деревянный дом.  Уникальная возможность встретить Новый год 3 ночи 600т, баня включена по требованию. Последующие 100т ночь. Выходные дни сдается на 2 ночи ! 8-10 человек! Праздничные дни сдаются по другому тарифу! 
Возможна долгосрочная аренда.         
Авторский проект в русском стиле по эскизу Васнецова. Построен из вологодской сосны ручной рубки, экологически чистых материалов.                                                 
    
В доме : русская печь с лежанкой, расписные двери, 4 санузла с душевыми, Сантехника Италия, 3 спальни с гардеробными и балконами, новая мебель из массива, телевизоры жк.                 

Банный комплекс на дровах: комната отдыха, кухня, 2 санузла, 1 спальня. На участке: зона барбекю, беседка, спортивная площадка, баскетбол, плодовые деревья.  

Инфраструктура : охраняемый коттеджный посёлок, в шаговой доступности магазины, транспорт, дет.сад, школа, озера с набережной, детские площадки., 28 фото",37000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Ванна, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник",https://www.cian.ru/rent/suburban/240908820,55.445135,37.289867
1000,7.0,"50.0, сот.","Московская область, Красногорск городской округ, дом Тимошкино, улица Архитектора Бава, 8, шоссе Новорижское , шоссе Волоколамское","+79163706582, +79629484617","Топ 2

Сдается красивый, современный, большой дом 1000 кв.м. в стиле хай-тек из дорогих материалов в престижном поселке Московской области посуточно и на выходные. Возможна аренда на месяц.

Дом находится в 18 км от МКАД по Новорижскому шоссе.

УЧАСТОК: благоустроенный участок 50 соток с ландшафтным дизайном. На участке имеется крытая зона барбекю и крытая терраса.

В ДОМЕ: 7 спален, 7 санузлов, банкетный зал на 60 персон с выходом на террасу, полностью оборудованная кухня с необходимой посудой.

РАЗВЛЕЧЕНИЯ: караоке-зал, каминный зал, бильярд, настольный теннис, ТВ, высокоскоростной интернет.

Отдельно стоящий СПА-комплекс:
бассейн (температура воды 27-29 градусов),
сауна
комната отдыха

Дом полностью соответствует фотографиям.
Организуем Ваше любое мероприятие: услуги поваров, официантов, ведущих, ди-джеев и пр.

СТОИМОСТЬ:
на 20 человек
Будни от 100.000 руб.
Пятница от 250.000 руб.
Суббота от 300.000 руб.
Полные выходные 350.000 руб.
Заезд в 15:00 выезд в 12:00.
Свыше 20 персон допл ..., 28 фото",300000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Гараж, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/289046068,56.007192,36.217162
100,2.0,"11.0, сот.","Московская область, Солнечногорск городской округ, Дом на Истре дп, аллея 3-я, шоссе Ленинградское , шоссе Пятницкое",+79067877244,"Открыто бронирование на НОВОГОДНИЕ Праздники,

У нас есть второй такой же дом в той же локации
Стоимость в обычне дни:
Вс-Чт - 6500 сутки 
Пт, Сб - 11000 утки 

Добро пожаловать дорогие гости!
Наш домик рассчитан на семейный и романтический отдых! 

 Транспорт и подъезд:
- Если без пробок, то по трассе м11 , альтернатива Ленинградское шоссе , съезд на Поворово.
- Удобный быстрый съезд с Пятницкого шоссе прямо к поселку. Навигатор строит маршрут к дому, что очень удобно.
- В поселке широкая дорога из асфальтной крошки , которую всегда чистят зимой.
- Большая парковка 100 кв. м на участке , рассчитана на 3-4 машины

 Размещение:
- Возможность разместить до 6 человек, плюс ребенок до 3 лет в кроватке - трансформер /размер матраса (100*70) - допустимый вес до 10 кг
Комфортный матрасик , уютное одеяльце , подушечка , бельё/ предоставляется
- Доп. кровать ( качественная мягкая раскладушка) для ребенка в одну из спален.
- Если ребенок спит в комнате родителей на раскладной кровати, он оплачив ..., 43 фото",25000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/280325375,56.098808,36.852136
350,5.0,"10.0, сот.","Московская область, Химки городской округ, Химки, Старбеево кв-л, улица Ленина, 1Е, шоссе Ленинградское , шоссе Москва-Санкт-Петербург, M-11",+79853345356,"Добро пожаловать в роскошный дом для отдыха в живописном уголке природы, расположенном в Химках. Дом площадью 350 квадратных метров создан для приема до 19 гостей, где каждый сможет насладиться комфортом и отдыхом.

При входе в этот уютный уголок вас встретит интерьер, наполненный теплом и уютом. А для вашего отдыха и развлечений здесь каждый найдет что-то по своему вкусу. Освежающий бассейн приглашает окунуться в чистую воду и расслабиться под лучами солнца, а баня и сауна помогут отдохнуть после насыщенного дня.

Любители активного отдыха смогут поиграть в теннис или насладиться партией в бильярд, а вечернее караоке даст возможность петь настоящие хиты и подогреют атмосферу праздника.

Насладитесь неповторимыми моментами с близкими и друзьями в этом идеальном месте для отдыха. Наш дом это настоящий уголок роскоши и уюта, где каждый ваш день будет наполнен яркими впечатлениями и незабываемыми моментами.

Тариф в пятницу, субботу и праздничный день - 40-60т бронь 
Бронь, внесённая за д ..., 40 фото",60000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/302556128,59.570288,30.676371
130,2.0,"50.0, сот.","Московская область, Дмитровский городской округ, дом Сычевки, 11/1, шоссе Дмитровское , шоссе Ярославское",+79689894938,"Описание
 Cтoимость и условия брoнирования:
Мaксимaльноe кoличeствo гocтей -9 чeлoвeк
Будни - 20.000 р/сутки
Bыxодные - 20.000р/сутки
Бронирование дома от двух суток 
 Сoвершенно новый теплый камeнный дом раcпoлoжeн на терpитoрии нeбoльшогo уютного гоcтевoго комплекса с панoрaмными видaми на живописный холмистый лес.

Cдaется чaсть домa(дуплекc), кaждaя пoлностью изолирована от соседней, идеально подойдет для семейного отдыха или небольшой компанией.

Каждая половина дома оборудована собственной баней на дровах которая входит в стоимость проживания.

Посуда, постельное белье, полотенца, WiFi, все развлечения на территории входят в стоимость.

На территории:
 Большой крытый бассейн с постоянной температурой воды 30-32 градусов, глубиной 1.3м. Работает круглый год!!!

 Уютные беседки-перголы у бассейна для отдыха на свежем воздухе.

 Детская площадка, батут, качели, стол для настольного тенниса, площадка для бадминтона.
 Собственная мангальная зона.
 Большая огороженная парковка.

 Компл ..., 47 фото",25000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Душевая кабина, Стиральная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/296748857,56.113185,37.524004
780,6.0,"25.0, сот.","Московская область, Одинцовский городской округ, с. Успенское, Успенское ТСН, шоссе Рублево-Успенское , шоссе Можайское",+79855840197,"#24376

3  преимущества:
-большой бассейн
-банкетный зал с камином
-открытая веранда

Идеально для:
-дней рождений
-выпускного
-тематической вечеринки

Коттедж для посуточной аренды расположен на Рублево-Успенском шоссе, в поселке Молоденово, между городами Одинцово и Звенигород. Его площадь 700 кв.м. Он оборудован 6 основными спальнями на 12 комфортных мест. Максимальное количество гостей на ночь - 25 человек. В доме 6 санузлов, некоторые из которых оборудованы полноценными ванными или джакузи.

Холл встречает гостей отделкой под мрамор и лифтом. На первом этаже находятся оборудованная кухня с техникой и посудой, зеркальный банкетный зал на 40 посадочных мест в восточном стиле с обилием диванов, живой пальмой и камином.

На цокольном этаже зона для активного отдыха с русским бильярдом, а также сауна и бассейн 32 кв.м. с подводной скамьей на всю длину и температурой воды 23 градуса. 

Просторная территория, окружающая коттедж, составляет 25 соток. На ней есть все для вкусного и размере ..., 38 фото",50000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/299642529,55.724799,37.152308
750,8.0,"35.0, сот.","Московская область, Красногорск городской округ, Нахабино пгт, Речное СНТ, тупик Заречный, шоссе Новорижское , шоссе Волоколамское","+79629484617, +79163706582","ТОП: 8
 
 
Сдается модный современный коттедж в ЭКО стиле площадью 750 кв.м. посуточно и на выходные. Возможна аренда на месяц.
 
Дом находится в 20 км от МКАД по Новорижскому шоссе.
 
УЧАСТОК: облагороженная территория 35 соток с ландшафтным дизайном. Мангальная зона на 20 персон, терраса с уличной мебелью, парковка на 8 машин, терраса.
 
В ДОМЕ: 8 спален (6 изолированных + 2 смежные), 22 спальных места, 5 санузлов, 2 ванны, 2 душа; огромная гостиная со вторым светом и камином на 35 персон. Панорамные окна. Дом оснащен всей необходимой бытовой техникой, кухонной и сервировочной посудой.
 
РАЗВЛЕЧЕНИЯ: настольные игры, телевизор, караоке, домашний кинотеатр с проектором, хаммам, подогреваемый бассейн (температура воды 24 градуса)
 
 
СТОИМОСТЬ:
Будни от 55.000 руб.
Пятница от 90.000 руб.
Суббота от 125.000 руб.
Полные выходные от 165.000  руб.
Новый год 31.12  02.01: от 450 000 руб.
Заезд в 16:00 выезд до 12:00.
 
ЗАЛОГ (депозит, обеспечительный платеж) от 50000 руб. Оплачивается при з ..., 50 фото",59000 руб/день,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/302898011,55.846836,37.152524
1300,7.0,"50.0, сот.","Московская область, Одинцовский городской округ, пос. НИИ Радио, шоссе Минское , шоссе Можайское",+79855840197,"#23614
3 ОСНОВНЫХ ПРЕИМУЩЕСТВА:
-чистота и порядок
-большая территория с крытой беседкой
-теннисный корт и СПА комплекс с большим бассейном

ИДЕАЛЬНО ДЛЯ:
-ретриты/тренинги
-свадьбы / корпоративы
-дней рождений /юбилеев  

Сдаётся прекрасный новый дом по Минскому (Можайскому) шоссе в 33 км от МКАД.
Дом площадью 550м2, рядом собственный спортивный комплекс 750 кв. м. 

Поэтажное описание:
Цокольный этаж: кинозал, бильярд, спальня, душевая комната, бойлерная комната.
1 этаж: кухня, столовая гостиная комната, гостевой санузел, спальня (TV, +с/у);
2 этаж: 1 спальня (двуспальная кровать, TV, с/у), 2 спальня (2 кровати по 1,2м, TV, +с/у), кабинет (диван раскладной), детская игровая комната;
3 этаж: спальня (двуспальная кровать+с/у).

Спорткомплекс: теплый бассейн 15 м, баня, теннисный корт (мячи в наличии), настольный теннис, душевые, спальня.

Участок 50 соток. Крытая зона барбекю 100м2, большой стол на 20 гостей, качели для взрослых и детей, зимняя и летняя надувная горка для детей, а такж ..., 50 фото",61000 руб/день,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Баня, Бассейн, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",https://www.cian.ru/rent/suburban/307778587,55.676824,37.280776
